,cycle,temp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,soh,class
0,5_charge_0,24,0.0,0.0,33.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.15012,1.7975528,0.0,0.0,0.0,0.0,196.14981,0.0,0.0,0.0,197.15012,1.7975528,0.0,0.0,0.0,0.0,196.14981,0.0,[0.92824371],0
1,5_charge_1,24,0.0,0.0,39.69508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.73221,0.62512326,0.0,0.0,0.0,0.0,253.62358,0.0,0.0,0.0,249.73221,0.62512326,0.0,0.0,0.0,0.0,253.62358,0.0,[0.92316362],0
2,5_charge_2,24,0.0,0.0,39.768158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.40115,0.0,0.0,0.0,0.0,0.0,252.05344,0.0,0.0,0.0,251.40115,0.0,0.0,0.0,0.0,0.0,252.05344,0.0,[0.9176746],0
3,5_charge_3,24,0.0,0.0,39.529648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.38731,0.0,0.0,0.0,0.0,0.0,250.83405,0.0,0.0,0.0,250.38731,0.0,0.0,0.0,0.0,0.0,250.83405,0.0,[0.91763126],0
4,5_charge_4,24,0.0,0.0,39.768883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.82455,0.0,0.0,0.0,0.0,0.0,250.45047,0.0,0.0,0.0,249.82455,0.0,0.0,0.0,0.0,0.0,250.45047,0.0,[0.91732275],0
5,5_charge_5,24,0.0,0.0,40.668137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.92917,4.337017,0.0,0.0,0.0,0.0,252.80484,0.0,0.0,0.0,252.92917,4.337017,0.0,0.0,0.0,0.0,252.80484,0.0,[0.91783083],0
6,5_charge_6,24,0.0,0.0,40.655273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.88602,4.27568,0.0,0.0,0.0,0.0,253.75403,0.0,0.0,0.0,253.88602,4.27568,0.0,0.0,0.0,0.0,253.75403,0.0,[0.91757307],0
7,5_charge_7,24,0.0,0.0,38.55451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.27151,0.0,0.0,0.0,0.0,0.0,246.56714,0.0,0.0,0.0,247.27151,0.0,0.0,0.0,0.0,0.0,246.56714,0.0,[0.9128784],0
8,5_charge_8,24,0.0,0.0,38.640007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.09378,0.0,0.0,0.0,0.0,0.0,247.21852,0.0,0.0,0.0,248.09378,0.0,0.0,0.0,0.0,0.0,247.21852,0.0,[0.91238693],0
9,5_charge_9,24,0.0,0.0,38.631657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.73807,0.0,0.0,0.0,0.0,0.0,246.80885,0.0,0.0,0.0,247.73807,0.0,0.0,0.0,0.0,0.0,246.80885,0.0,[0.91230663],0
10,5_charge_10,24,0.0,0.0,38.56302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.04391,0.0,0.0,0.0,0.0,0.0,245.29861,0.0,0.0,0.0,246.04391,0.0,0.0,0.0,0.0,0.0,245.29861,0.0,[0.91230978],0
11,5_charge_11,24,0.0,0.0,38.295998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.66476,0.63135433,0.0,0.0,0.0,0.0,246.00511,0.0,0.0,0.0,245.66476,0.63135433,0.0,0.0,0.0,0.0,246.00511,0.0,[0.90710097],0
12,5_charge_12,24,0.0,0.0,38.281406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.83073,0.0,0.0,0.0,0.0,0.0,247.46664,0.0,0.0,0.0,247.83073,0.0,0.0,0.0,0.0,0.0,247.46664,0.0,[0.90687608],0
13,5_charge_13,24,0.0,0.0,40.5813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.75061,3.5719352,0.0,0.0,0.0,0.0,255.80777,0.0,0.0,0.0,253.75061,3.5719352,0.0,0.0,0.0,0.0,255.80777,0.0,[0.90672025],0
14,5_charge_14,24,0.0,0.0,38.304916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.52313,0.37258768,0.0,0.0,0.0,0.0,244.89896,0.0,0.0,0.0,245.52313,0.37258768,0.0,0.0,0.0,0.0,244.89896,0.0,[0.901299],0
15,5_charge_15,24,0.0,0.0,38.259377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.36255,0.0,0.0,0.0,0.0,0.0,245.41931,0.0,0.0,0.0,244.36255,0.0,0.0,0.0,0.0,0.0,245.41931,0.0,[0.90105345],0
16,5_charge_16,24,0.0,0.0,38.331635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.86646,0.43308496,0.0,0.0,0.0,0.0,243.24402,0.0,0.0,0.0,243.86646,0.43308496,0.0,0.0,0.0,0.0,243.24402,0.0,[0.90128975],0
17,5_charge_17,24,0.0,0.0,38.32396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.12582,0.46884584,0.0,0.0,0.0,0.0,245.32614,0.0,0.0,0.0,245.12582,0.46884584,0.0,0.0,0.0,0.0,245.32614,0.0,[0.90153416],0
18,5_charge_18,24,0.0,0.0,38.634895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.31808,0.0,0.0,0.0,0.0,0.0,246.78455,0.0,0.0,0.0,247.31808,0.0,0.0,0.0,0.0,0.0,246.78455,0.0,[0.90138881],0
19,5_charge_19,24,0.0,0.0,39.751545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.02068,0.0,0.0,0.0,0.0,0.0,240.08385,0.0,0.0,0.0,240.02068,0.0,0.0,0.0,0.0,0.0,240.08385,0.0,[0.923513],0
20,5_charge_20,24,0.0,0.0,39.107185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.93752,0.0,0.0,0.0,0.0,0.0,242.98853,0.0,0.0,0.0,243.93752,0.0,0.0,0.0,0.0,0.0,242.98853,0.0,[0.92370866],0
21,5_charge_21,24,0.0,0.0,38.724106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.66821,0.1869955,0.0,0.0,0.0,0.0,242.50749,0.0,0.0,0.0,242.66821,0.1869955,0.0,0.0,0.0,0.0,242.50749,0.0,[0.91808871],0
22,5_charge_22,24,0.0,0.0,38.28285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.30441,0.09242345,0.0,0.0,0.0,0.0,237.14032,0.0,0.0,0.0,236.30441,0.09242345,0.0,0.0,0.0,0.0,237.14032,0.0,[0.91289037],0
23,5_charge_23,24,0.0,0.0,40.568733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.43314,2.3137298,0.0,0.0,0.0,0.0,243.1073,0.0,0.0,0.0,240.43314,2.3137298,0.0,0.0,0.0,0.0,243.1073,0.0,[0.91255682],0
24,5_charge_24,24,0.0,0.0,38.417343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.02661,0.072233684,0.0,0.0,0.0,0.0,233.82353,0.0,0.0,0.0,234.02661,0.072233684,0.0,0.0,0.0,0.0,233.82353,0.0,[0.91279075],0
