,cycle,temp,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,soh,class
0,5_charge_0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09106721260110141,4.175783584029321,4.204620969184191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701173117994992,26.159425299166763,24.50301724914447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01678026057230049,1.1634012507741716,0.12157678093223333,[0.92824371],0
1,5_charge_1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5429775606629141,4.034654362719939,4.2051805298805665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.435764588882144,27.271006929249932,25.491908662455394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6033950474546342,1.4787458239595241,0.20529531412842933,[0.92316362],0
2,5_charge_2,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5151239598460975,4.03004456582991,4.204770147747489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.307812916615859,27.39990790953303,25.62856238128498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5917403330600463,1.4828944884324458,0.20907130549568553,[0.9176746],0
3,5_charge_3,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4782797915178933,4.026965544643854,4.204903813119211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.998117871837355,27.31934264646286,25.564819958476956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5761941519531342,1.4864281022566381,0.21559992204669373,[0.91763126],0
4,5_charge_4,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5168380793624034,4.029214264493658,4.204345584863742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.272225142658467,27.242722185605317,25.434111692821613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5916766527157734,1.480622575339204,0.2046792119864458,[0.91732275],0
5,5_charge_5,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6651538041872394,4.041061843924848,4.203823896352255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.264635614194635,27.195096466384385,25.272592965300795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6496137584210019,1.455000800335623,0.172034110613524,[0.91783083],0
6,5_charge_6,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6641501249227488,4.040285736316887,4.203477876814562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.289295656819931,27.308634579836102,25.383896482389876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497465388368246,1.4550874064428136,0.17086708874633033,[0.91757307],0
7,5_charge_7,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.344787225201374,4.011592209850566,4.205547724170599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.107257716209363,27.23614807793465,25.730659277111315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5257166479280491,1.5011710637971436,0.250299047981132,[0.9128784],0
8,5_charge_8,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3585924002287493,4.013757971663882,4.205194061199372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.219288430854482,27.26227727455385,25.669413590076807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5295565277410572,1.4986875738720464,0.24266177477546705,[0.91238693],0
9,5_charge_9,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3573810965260595,4.01370551145632,4.205280077762148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.242817135485602,27.225846766280263,25.58953829325038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5297613598697563,1.498343347385453,0.24089754694430562,[0.91230663],0
